Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones,Validación 1617,Coincidencia OCR 1617,Cita literal 1617 (OCR),Línea OCR cita 1617,Rango OCR 1617,Notas validación 1617
1,I,I,"De la venida de Tubal, y de la fertilidad de España",Cayo Plinio Segundo,Plinio el Viejo,Naturalis Historia,"Cayo Plinio Segundo (Plinio el Viejo, s. I). Autor romano. Principal obra: Naturalis Historia (Historia Natural), es la que cita Mariana. Enciclopedia en 37 libros, compuesta hacia el 77 d. C. y dedicada al emperador Tito. Es la única obra conservada de Plinio. Geografía de Hispania y sus riquezas materiales. El libro III de la Naturalis Historia es una fuente fundamental porque describe: provincias romanas de Hispania, ciudades y conventus, pueblos indígenas, recursos naturales.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,plinio,"métir có alguna probabilidad y apparea / ciadevcrdad.Enconclufion,aun clmif- / moPlinio,alfin dcfuhiftoria natural tef / tiíica,q por todas las partes cercanas del / mar , Efpaña es la mejor y mas fértil de",4122,líneas 3950-4372,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
2,I,II,Del asiento y circunferencia de España,Cayo Julio Solino,Solino,Collectanea rerum memorabilium,"Cayo Julio Solino (Gaius Iulius Solinus, s. III probáblemente). Compilador y geógrafo romano. Obra principal: Collectanea Rerum Memorabilium (Colección de Cosas Memorables). Obra enciclopédica y geográfica que describe regiones del mundo, pueblos, animales, plantas y fenómenos extraordinarios.",Autoridad geográfica/toponímica,Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,solino,"cuya longitud es de quinze millas, la an- B / chura por dóde mas fe eftrecha el mar a / penas es de fíete, cóforme a lo q Solino / ' elcriuc,dado q oy mas de dozc millastic / ne de anchura por la parte mas eftrecha,",4270,líneas 3950-4372,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
3,I,II,Del asiento y circunferencia de España,Pomponio Mela,Pomponio Mela,De chorographia / De situ orbis,"Pomponio Mela (Pomponius Mela, s. I), geógrafo romano. Obra principal: De Chorographia (Sobre la descripción del mundo) o De Situ Orbis. Es un tratado geográfico en tres libros que describe el mundo conocido desde la perspectiva del Imperio romano. La obra constituye el único tratado geográfico latino completo conservado anterior a Plinio el Viejo. El texto se transmitió a través de numerosos manuscritos medievales con variantes.",Autoridad bibliográfica o de transmisión textual,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 3950-4372,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
4,I,II,Del asiento y circunferencia de España,Marco Juniano Justino,Justino,Epitoma historiarum Philippicarum,"Marco Juniano Justino (Marcus Iunianus Iustinus, s. II o III probáblemente). Historiador o, más precisamente, epitomista (resumidor) romano. Para geografía de España. Epitoma Historiarum Philippicarum Pompei Trogi (Epitome de las Historiae Philippicae de Pompeyo Trogo). Esta obra constituye un resumen o compendio de la historia universal escrita por: Pompeyo Trogo. La obra original de Trogo —compuesta en la época de Augusto— se ha perdido casi por completo, de modo que el texto de Justino constituye la principal vía de transmisión de esta tradición historiográfica.",Autoridad geográfica/toponímica,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 3950-4372,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
5,I,III,De los montes y ríos principales de España,Solino,Solino,Collectanea rerum memorabilium,Mención a Solino (para Geografía).,Autoridad geográfica/toponímica,Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,solino,"trion, donde dexan formado.enelmar / Océano, el Promontorio, 0 cabo , q pof / lo menos Solino le llamó Artabro. • ’ / Qtpdlí Igüedos diui ¡iones de Ef»",4512,líneas 4343-4928,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
6,I,IV,"De dos divisiones de España, la antigua, y la moderna",San Isidoro,Isidoro de Sevilla,Etymologiae / obras históricas,"San Isidoro de Sevilla (Isidorus Hispalensis, s. VI-VII). Etymologiae (Etimologías). Sobre la división de España por parte Constantino en Tarraconense, Cartaginense, y Galicia→ Historia Gothorum, Vandalorum et Suevorum, y Chronica maiora. Entre estas obras, las que tienen mayor relevancia para la historiografía de la España antigua y altomedieval —y por tanto para Juan de Mariana— son principalmente Historia Gothorum y Chronica.",Autoridad narrativa bélica,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"diá las leyes con qlos vaflallos fe gouer- / nauá,y los Cófejos de la paz,y de lagutí / rra.Laqual S.Ifidoro,cótormca ladiiijh / fió del grá Cóftantino,q fe halla en Sex^ / to Rufojdiuidio en la Tarraconéfe,Gn Ja",4562,líneas 4343-4928,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
7,I,IV,"De dos divisiones de España, la antigua, y la moderna",Sexto Rufo,Sexto Rufo / Rufo Festo,Breviarium,"Sexto Rufo (Sextus Rufus, s. IV posíblemente), para lo mismo. Historiador romano. Breviarium Rerum Gestarum Populi Romani (Breviario de las Hazañas del Pueblo Romano). No se si es la que usa. (también citado en la tradición manuscrita como Breviarium de historia Romana). En la tradición humanista del siglo XVI, el Breviarium circulaba frecuentemente junto a otros compendios de historia romana (Eutropio, Aurelio Víctor). Por ello: Mariana pudo consultarlo en ediciones renacentistas que reunían estos autores.",Autoridad bibliográfica o de transmisión textual,Tardorromana / compendio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,rufo,"rra.Laqual S.Ifidoro,cótormca ladiiijh / fió del grá Cóftantino,q fe halla en Sex^ / to Rufojdiuidio en la Tarraconéfe,Gn Ja / ,Cartagincfe,y Galicia, fin fcñalar losliq / deros q cada vna deftas tres provincias",4564,líneas 4343-4928,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
8,I,IV,"De dos divisiones de España, la antigua, y la moderna",Plinio,Plinio el Viejo,Naturalis Historia,Vuelve a mencionar a Plinio.,Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,plinio,"métir có alguna probabilidad y apparea / ciadevcrdad.Enconclufion,aun clmif- / moPlinio,alfin dcfuhiftoria natural tef / tiíica,q por todas las partes cercanas del / mar , Efpaña es la mejor y mas fértil de",4122,líneas 4343-4928,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
9,I,IV,"De dos divisiones de España, la antigua, y la moderna",Claudio Ptolomeo,Ptolomeo,Geographia,"Claudio Ptolomeo (Claudius Ptolemaeus, s. II). Sobre la geografía de España. Geographike Hyphegesis (Guía Geográfica o Geografía). Para la historiografía de España y, en particular, para el uso que hace Juan de Mariana de las fuentes clásicas, la obra fundamental es la Geographia, tratado geográfico que contiene una descripción sistemática del mundo conocido con coordenadas geográficas.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,ptolomeo,"con el fe junta el rio Aragó;todo lo qual / mueftra , fue la Cantabria algún tiempo / mayor de lo q Ptolomeo feñala, y aú de / lo que oy llamamos Vizcaya. Eftá el le- / ñorio y difiriólo de Vizcaya, partido en",4814,líneas 4343-4928,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
10,I,VII,De los reyes fabulosos (inventados) de España,Falso Beroso,Pseudo-Beroso / Annio de Viterbo,Antiquitatum variarum volumina XVII,"Falso Beroso o pseudo Beroso. El original finales s. IV a.C., pero falsificación del siglo XV-XVI atribuida a Annio de Viterbo (Giovanni Nanni). Para desacreditar información acerca de los reyes españoles que son falsos. La obra falsificada aparece en la colección publicada por Annio da Viterbo: Antiquitatum Variarum volumina XVII. Dentro de esta compilación Annio incluyó supuestos fragmentos de autores antiguos inexistentes o falsificados, entre ellos: Berosi Chaldaici Antiquitates (atribuidas al historiador babilónico Beroso). Estos textos pretendían reconstruir una historia universal muy antigua basada en tradiciones orientales y bíblicas.",Fuente problemática o usada críticamente,Falsificación humanista,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.,Confirmado en 1617,beroso,"fu .den'uacion,fe atribuye a entrambos, / y los q pone el vno,níngunamenció ha- / 2c del otrorfucra de folo Berofo , cuyas / Tabulas poco antes dcfcchamos, no íolb / como tales, fino tibien como mal forja-",5814,líneas 5097-6147,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
