Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones
1,I,I,"De la venida de Tubal, y de la fertilidad de España",Cayo Plinio Segundo,Plinio el Viejo,,"Cayo Plinio Segundo (Plinio el Viejo, s. I). Autor romano. Principal obra: Naturalis Historia (Historia Natural), es la que cita Mariana. Enciclopedia en 37 libros, compuesta hacia el 77 d. C. y dedicada al emperador Tito. Es la única obra conservada de Plinio. Geografía de Hispania y sus riquezas materiales. El libro III de la Naturalis Historia es una fuente fundamental porque describe: provincias romanas de Hispania, ciudades y conventus, pueblos indígenas, recursos naturales.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
2,I,II,Del asiento y circunferencia de España,Cayo Julio Solino,Solino,,"Cayo Julio Solino (Gaius Iulius Solinus, s. III probáblemente). Compilador y geógrafo romano. Obra principal: Collectanea Rerum Memorabilium (Colección de Cosas Memorables). Obra enciclopédica y geográfica que describe regiones del mundo, pueblos, animales, plantas y fenómenos extraordinarios.",Autoridad geográfica/toponímica,Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
3,I,II,Del asiento y circunferencia de España,Pomponio Mela,Pomponio Mela,,"Pomponio Mela (Pomponius Mela, s. I), geógrafo romano. Obra principal: De Chorographia (Sobre la descripción del mundo) o De Situ Orbis. Es un tratado geográfico en tres libros que describe el mundo conocido desde la perspectiva del Imperio romano. La obra constituye el único tratado geográfico latino completo conservado anterior a Plinio el Viejo. El texto se transmitió a través de numerosos manuscritos medievales con variantes.",Autoridad bibliográfica o de transmisión textual,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
4,I,II,Del asiento y circunferencia de España,Marco Juniano Justino,Justino,,"Marco Juniano Justino (Marcus Iunianus Iustinus, s. II o III probáblemente). Historiador o, más precisamente, epitomista (resumidor) romano. Para geografía de España. Epitoma Historiarum Philippicarum Pompei Trogi (Epitome de las Historiae Philippicae de Pompeyo Trogo). Esta obra constituye un resumen o compendio de la historia universal escrita por: Pompeyo Trogo. La obra original de Trogo —compuesta en la época de Augusto— se ha perdido casi por completo, de modo que el texto de Justino constituye la principal vía de transmisión de esta tradición historiográfica.",Autoridad geográfica/toponímica,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
5,I,III,De los montes y ríos principales de España,Solino,Solino,,Mención a Solino (para Geografía).,Autoridad geográfica/toponímica,Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
6,I,IV,"De dos divisiones de España, la antigua, y la moderna",San Isidoro,Isidoro de Sevilla,,"San Isidoro de Sevilla (Isidorus Hispalensis, s. VI-VII). Etymologiae (Etimologías). Sobre la división de España por parte Constantino en Tarraconense, Cartaginense, y Galicia→ Historia Gothorum, Vandalorum et Suevorum, y Chronica maiora. Entre estas obras, las que tienen mayor relevancia para la historiografía de la España antigua y altomedieval —y por tanto para Juan de Mariana— son principalmente Historia Gothorum y Chronica.",Autoridad narrativa bélica,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
7,I,IV,"De dos divisiones de España, la antigua, y la moderna",Sexto Rufo,Sexto Rufo / Rufo Festo,,"Sexto Rufo (Sextus Rufus, s. IV posíblemente), para lo mismo. Historiador romano. Breviarium Rerum Gestarum Populi Romani (Breviario de las Hazañas del Pueblo Romano). No se si es la que usa. (también citado en la tradición manuscrita como Breviarium de historia Romana). En la tradición humanista del siglo XVI, el Breviarium circulaba frecuentemente junto a otros compendios de historia romana (Eutropio, Aurelio Víctor). Por ello: Mariana pudo consultarlo en ediciones renacentistas que reunían estos autores.",Autoridad bibliográfica o de transmisión textual,Tardorromana / compendio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
8,I,IV,"De dos divisiones de España, la antigua, y la moderna",Plinio,Plinio el Viejo,,Vuelve a mencionar a Plinio.,Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
9,I,IV,"De dos divisiones de España, la antigua, y la moderna",Claudio Ptolomeo,Ptolomeo,,"Claudio Ptolomeo (Claudius Ptolemaeus, s. II). Sobre la geografía de España. Geographike Hyphegesis (Guía Geográfica o Geografía). Para la historiografía de España y, en particular, para el uso que hace Juan de Mariana de las fuentes clásicas, la obra fundamental es la Geographia, tratado geográfico que contiene una descripción sistemática del mundo conocido con coordenadas geográficas.",Autoridad geográfica/toponímica,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
10,I,VII,De los reyes fabulosos (inventados) de España,Falso Beroso,Pseudo-Beroso / Annio de Viterbo,,"Falso Beroso o pseudo Beroso. El original finales s. IV a.C., pero falsificación del siglo XV-XVI atribuida a Annio de Viterbo (Giovanni Nanni). Para desacreditar información acerca de los reyes españoles que son falsos. La obra falsificada aparece en la colección publicada por Annio da Viterbo: Antiquitatum Variarum volumina XVII. Dentro de esta compilación Annio incluyó supuestos fragmentos de autores antiguos inexistentes o falsificados, entre ellos: Berosi Chaldaici Antiquitates (atribuidas al historiador babilónico Beroso). Estos textos pretendían reconstruir una historia universal muy antigua basada en tradiciones orientales y bíblicas.",Fuente problemática o usada críticamente,Falsificación humanista,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.
11,I,VII,De los reyes fabulosos (inventados) de España,Plinio,Plinio el Viejo,,"Nueva mención a Plinio y Apiano. Sobre los distintos pueblos en España, y nombres de reyes. San Isidoro, Etimologías. Estrabón.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
12,I,VII,De los reyes fabulosos (inventados) de España,Apiano,Apiano de Alejandría,,"Nueva mención a Plinio y Apiano. Sobre los distintos pueblos en España, y nombres de reyes. San Isidoro, Etimologías. Estrabón.",Autoridad geográfica/toponímica,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
13,I,VII,De los reyes fabulosos (inventados) de España,San Isidoro,Isidoro de Sevilla,,"Nueva mención a Plinio y Apiano. Sobre los distintos pueblos en España, y nombres de reyes. San Isidoro, Etimologías. Estrabón.",Autoridad geográfica/toponímica,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
14,I,VII,De los reyes fabulosos (inventados) de España,Estrabón,Estrabón,,"Nueva mención a Plinio y Apiano. Sobre los distintos pueblos en España, y nombres de reyes. San Isidoro, Etimologías. Estrabón.",Autoridad geográfica/toponímica,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
15,I,VII,De los reyes fabulosos (inventados) de España,Apiano,Apiano de Alejandría,,"Apiano de Alejandría (s. I-II). Ῥωμαϊκά (Romaika / Historia romana). Esta obra constituye una historia del Imperio romano organizada por pueblos o regiones conquistadas, no por orden cronológico estricto. Entre sus secciones destacan: Iberiké (Historia de Iberia), Hannibalica, Mithridatica, Bellum civile (Historia de las guerras civiles romanas). Para la historia antigua de la Península Ibérica resulta especialmente relevante el libro Iberiké, dedicado a las campañas romanas en Hispania.",Autoridad geográfica/toponímica,Clásica griega / transmisión fragmentaria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
16,I,VIII,De los Geriones,Diodoro de Sicilia,Diodoro Sículo,,"Diodoro de Sicilia (Diodorus Siculus), s. I a.C., para el periodo antiguo y mítico de España. Romano. Obra más relevante, Bibliotheca Historica. Βιβλιοθήκη Ἱστορική (Bibliotheca historica). Se trata de una vasta historia universal compuesta originalmente por 40 libros, que abarcaba desde los tiempos míticos hasta la época de Julio César.Para la historia antigua de la Península Ibérica son particularmente relevantes los pasajes contenidos en Libro V, donde se describe el Occidente mediterráneo.",Autoridad bibliográfica o de transmisión textual,Clásica griega / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
17,I,VIII,De los Geriones,Suetonio,Suetonio Tranquilo,,"Cayo Suetonio Tranquilo (Gaius Suetonius Tranquillus), s. I-II. Romano, para el periodo mítico y antiguo de España. La obra más influyente es De vita Caesarum, compuesta por doce biografías de los emperadores romanos, desde Julio César hasta Domiciano. Sin embargo, en lo relativo a la historia específica de Hispania, Suetonio desempeña un papel menos central que autores como Estrabón, Plinio, Apiano y Floro, ya que su obra se centra principalmente en la biografía imperial. No sé qué obra está utilizando, cuidado.",Autoridad narrativa bélica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
18,I,IX,"Del rey Hispalo, y de la muerte de Hércules",Marco Juniano Justino,Justino,,"Marco Juniano Justino (Marcus Junianus Justinus), entre s. II-III. Romano. Epitoma historiarum Philippicarum Pompei Trogi (Epítome de las Historias Filípicas de Pompeyo Trogo). Para el periodo mítico y antiguo de España. Esta obra constituye un resumen o compendio de la historia universal escrita por Pompeyo Trogo (Historiae Philippicae), historiador galo-romano del siglo I a. C. cuya obra original se ha perdido. Marco Juniano Justino pertenece a la tradición literaria de las epítomes históricas, muy frecuente en la Antigüedad tardía. Este género consistía en resumir obras extensas de historiadores clásicos con fines didácticos o retóricos.",Autoridad cronológica,Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
19,I,IX,"Del rey Hispalo, y de la muerte de Hércules",San Isidoro,Isidoro de Sevilla,,"Vuelve a mencionar a San Isidoro, para la fundación Hispalis (Sevilla).","Autoridad sobre orígenes, genealogía o materia mítica",Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
20,I,IX,"Del rey Hispalo, y de la muerte de Hércules",falso Beroso,Pseudo-Beroso / Annio de Viterbo,,Vuelve a desechar las fábulas del falso Beroso.,Fuente problemática o usada críticamente,Falsificación humanista,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.
21,I,X,De Hespero y Atlas reyes de España,Quinto Fabio Píctor,Quinto Fabio Píctor,,"Quinto Fabio Píctor (Quintus Fabius Pictor), s. III a.C. Romano. Empleado por historiadores para conectar la creación de Roma con los españoles→ Va a ser desacreditado por Mariana. Annales o Rerum gestarum libri. (Obra completamente perdida; solo se conservan fragmentos y referencias en autores posteriores). Se trata de una historia de Roma desde sus orígenes hasta la Segunda Guerra Púnica, escrita originalmente en lengua griega. La obra no se conserva directamente; su contenido se conoce únicamente a través de citas y referencias de autores posteriores, entre ellos: Polibio, Dionisio de Halicarnaso, Tito Livio, Plutarco.",Autoridad narrativa bélica,Clásica romana / obra perdida,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.
22,I,X,De Hespero y Atlas reyes de España,Quinto Valerio Sorano,Quinto Valerio Sorano,,"Quinto Valerio Sorano (Quintus Valerius Soranus), s. II-I a.C. Ejecutado por difundir secretos (para Mariana, ejecutado por difundir el verdadero nombre de la ciudad de Roma). No lo cita como fuente directa. Luego, quizás no tiene interés para el TFG.",Autoridad geográfica/toponímica,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.
23,I,XI,De Sículo rey de España,Filisto,Filisto de Siracusa,,"Filisto de Siracusa (Philistus Syracusanus), s. V-IV a.C. Historiador y militar griego. Historias Sicilianas (Obra completamente perdida, compuesta de 13 libros; solo se conservan fragmentos y referencias en otros autores). Para el periodo mítico y antiguo de España → vínculo entre españoles y Sicilia.",Autoridad cronológica,Griega / obra perdida,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
24,I,XI,De Sículo rey de España,Solino,Solino,,"Solino, atribuye Valencia como antiguo nombre de Roma.",Autoridad historiográfica de apoyo,Clásica romana / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
25,I,XI,De Sículo rey de España,Justino,Justino,,"Justino, para reyes antiguos y mitológicos de España.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
26,I,XII,De diversas gentes que vinieron a España,Diodoro Siculo,Diodoro Sículo,,Diodoro Siculo. Reyes antiguos y/o mitológicos.,"Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega / compilatoria,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
27,I,XII,De diversas gentes que vinieron a España,Justino,Justino,,"Justino y San Isidoro, sobre la venida de Teucro (rey mitológico) a España.","Autoridad sobre orígenes, genealogía o materia mítica",Clásica romana / epítome,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
28,I,XII,De diversas gentes que vinieron a España,San Isidoro,Isidoro de Sevilla,,"Justino y San Isidoro, sobre la venida de Teucro (rey mitológico) a España.","Autoridad sobre orígenes, genealogía o materia mítica",Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
29,I,XII,De diversas gentes que vinieron a España,Estrabón,Estrabón,,"Estrabón, libro III, sobre la llegada de Mnesteo Atheniense a Cádiz.",Autoridad historiográfica de apoyo,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
30,I,XII,De diversas gentes que vinieron a España,Estrabón,Estrabón,,Estrabón y Solino sobre Ulises en España.,"Autoridad sobre orígenes, genealogía o materia mítica",Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.
